phase	dispatcher	mode_or_child	run	value_us
e2e	grouped-bash-guard	smoke	1	193474
e2e	grouped-bash-guard	smoke	2	157857
e2e	grouped-bash-guard	smoke	3	160486
e2e	grouped-bash-guard	smoke	4	170175
e2e	grouped-bash-guard	smoke	5	204499
e2e	grouped-bash-guard	smoke	6	216023
e2e	grouped-bash-guard	smoke	7	178346
e2e	grouped-bash-guard	smoke	8	165866
e2e	grouped-bash-guard	smoke	9	141705
e2e	grouped-bash-guard	smoke	10	118946
e2e	grouped-bash-guard	smoke	11	109676
e2e	grouped-bash-guard	smoke	12	121929
e2e	grouped-bash-guard	smoke	13	119272
e2e	grouped-bash-guard	smoke	14	129919
e2e	grouped-bash-guard	smoke	15	108446
e2e	grouped-bash-guard	smoke	16	110734
e2e	grouped-bash-guard	smoke	17	106066
e2e	grouped-bash-guard	smoke	18	102505
e2e	grouped-bash-guard	smoke	19	103169
e2e	grouped-bash-guard	smoke	20	118205
e2e	grouped-bash-guard	smoke	21	111698
e2e	grouped-bash-guard	smoke	22	132886
e2e	grouped-bash-guard	smoke	23	138747
e2e	grouped-bash-guard	smoke	24	113721
e2e	grouped-bash-guard	smoke	25	157244
e2e	grouped-bash-guard	smoke	26	152795
e2e	grouped-bash-guard	smoke	27	146502
e2e	grouped-bash-guard	smoke	28	118795
e2e	grouped-bash-guard	smoke	29	126342
e2e	grouped-bash-guard	smoke	30	153121
e2e	grouped-bash-guard	real	1	254608
e2e	grouped-bash-guard	real	2	262260
e2e	grouped-bash-guard	real	3	232450
e2e	grouped-bash-guard	real	4	208980
e2e	grouped-bash-guard	real	5	210547
e2e	grouped-bash-guard	real	6	195065
e2e	grouped-bash-guard	real	7	187383
e2e	grouped-bash-guard	real	8	206400
e2e	grouped-bash-guard	real	9	199803
e2e	grouped-bash-guard	real	10	216232
e2e	grouped-bash-guard	real	11	205319
e2e	grouped-bash-guard	real	12	187062
e2e	grouped-bash-guard	real	13	210503
e2e	grouped-bash-guard	real	14	185596
e2e	grouped-bash-guard	real	15	201341
e2e	grouped-bash-guard	real	16	189069
e2e	grouped-bash-guard	real	17	189224
e2e	grouped-bash-guard	real	18	196726
e2e	grouped-bash-guard	real	19	178864
e2e	grouped-bash-guard	real	20	209904
e2e	grouped-bash-guard	real	21	185768
e2e	grouped-bash-guard	real	22	195447
e2e	grouped-bash-guard	real	23	200091
e2e	grouped-bash-guard	real	24	193468
e2e	grouped-bash-guard	real	25	214185
e2e	grouped-bash-guard	real	26	195012
e2e	grouped-bash-guard	real	27	193227
e2e	grouped-bash-guard	real	28	182645
e2e	grouped-bash-guard	real	29	183178
e2e	grouped-bash-guard	real	30	232982
e2e	grouped-read-guard	smoke	1	62445
e2e	grouped-read-guard	smoke	2	59098
e2e	grouped-read-guard	smoke	3	63747
e2e	grouped-read-guard	smoke	4	61191
e2e	grouped-read-guard	smoke	5	61465
e2e	grouped-read-guard	smoke	6	55893
e2e	grouped-read-guard	smoke	7	55836
e2e	grouped-read-guard	smoke	8	52560
e2e	grouped-read-guard	smoke	9	54474
e2e	grouped-read-guard	smoke	10	53167
e2e	grouped-read-guard	smoke	11	61341
e2e	grouped-read-guard	smoke	12	64040
e2e	grouped-read-guard	smoke	13	55819
e2e	grouped-read-guard	smoke	14	61132
e2e	grouped-read-guard	smoke	15	65102
e2e	grouped-read-guard	smoke	16	59842
e2e	grouped-read-guard	smoke	17	58532
e2e	grouped-read-guard	smoke	18	59229
e2e	grouped-read-guard	smoke	19	65297
e2e	grouped-read-guard	smoke	20	78642
e2e	grouped-read-guard	smoke	21	71125
e2e	grouped-read-guard	smoke	22	66576
e2e	grouped-read-guard	smoke	23	74343
e2e	grouped-read-guard	smoke	24	66812
e2e	grouped-read-guard	smoke	25	62560
e2e	grouped-read-guard	smoke	26	59379
e2e	grouped-read-guard	smoke	27	60933
e2e	grouped-read-guard	smoke	28	60978
e2e	grouped-read-guard	smoke	29	61647
e2e	grouped-read-guard	smoke	30	65910
e2e	grouped-read-guard	real	1	92816
e2e	grouped-read-guard	real	2	102200
e2e	grouped-read-guard	real	3	92692
e2e	grouped-read-guard	real	4	90174
e2e	grouped-read-guard	real	5	99615
e2e	grouped-read-guard	real	6	95750
e2e	grouped-read-guard	real	7	93825
e2e	grouped-read-guard	real	8	90890
e2e	grouped-read-guard	real	9	92346
e2e	grouped-read-guard	real	10	103090
e2e	grouped-read-guard	real	11	104042
e2e	grouped-read-guard	real	12	97988
e2e	grouped-read-guard	real	13	92961
e2e	grouped-read-guard	real	14	92582
e2e	grouped-read-guard	real	15	88385
e2e	grouped-read-guard	real	16	95111
e2e	grouped-read-guard	real	17	87564
e2e	grouped-read-guard	real	18	87686
e2e	grouped-read-guard	real	19	85152
e2e	grouped-read-guard	real	20	98836
e2e	grouped-read-guard	real	21	103696
e2e	grouped-read-guard	real	22	99146
e2e	grouped-read-guard	real	23	97563
e2e	grouped-read-guard	real	24	93511
