hook|fixture|outcome|run|duration_ms
approve-safe-commands|approves-ls|approved|1|45
approve-safe-commands|passes-non-allowlist-bash|pass|1|45
auto-mode-shared-steps|blocks-git-push-under-auto-mode|blocked|1|34
auto-mode-shared-steps|passes-noop-bash|pass|1|22
block-config-edits|blocks-edit-bashrc|blocked|1|25
block-config-edits|passes-edit-non-config-file|pass|1|23
block-credential-exfiltration|blocks-curl-with-token|blocked|1|15
block-credential-exfiltration|passes-curl-no-credentials|pass|1|15
block-dangerous-commands|blocks-rm-rf-root|blocked|1|40
block-dangerous-commands|passes-benign-ls|pass|1|16
detect-session-start-truncation|passes-untruncated|pass|1|8
enforce-make-commands|blocks-bare-pytest|blocked|1|14
enforce-make-commands|passes-make-test|pass|1|13
enforce-uv-run|blocks-bare-python|blocked|1|18
enforce-uv-run|passes-uv-run-python|pass|1|20
git-safety|blocks-force-push-main|blocked|1|40
git-safety|blocks-malformed-stdin|blocked|1|8
git-safety|passes-git-status|pass|1|24
log-permission-denied|logs-denied|pass|1|15
log-permission-denied|passes-on-malformed-stdin|error|1|15
log-tool-uses|logs-bash|pass|1|15
log-tool-uses|passes-on-malformed-stdin|error|1|13
secrets-guard|blocks-dotenv-grep|blocked|1|32
secrets-guard|passes-grep-non-secret-path|pass|1|30
suggest-read-json|blocks-on-large-json|blocked|1|22
suggest-read-json|passes-on-nonexistent-json|pass|1|16
approve-safe-commands|approves-ls|approved|2|36
approve-safe-commands|passes-non-allowlist-bash|pass|2|35
auto-mode-shared-steps|blocks-git-push-under-auto-mode|blocked|2|28
auto-mode-shared-steps|passes-noop-bash|pass|2|20
block-config-edits|blocks-edit-bashrc|blocked|2|23
block-config-edits|passes-edit-non-config-file|pass|2|21
block-credential-exfiltration|blocks-curl-with-token|blocked|2|17
block-credential-exfiltration|passes-curl-no-credentials|pass|2|14
block-dangerous-commands|blocks-rm-rf-root|blocked|2|46
block-dangerous-commands|passes-benign-ls|pass|2|15
detect-session-start-truncation|passes-untruncated|pass|2|7
enforce-make-commands|blocks-bare-pytest|blocked|2|22
enforce-make-commands|passes-make-test|pass|2|17
enforce-uv-run|blocks-bare-python|blocked|2|20
enforce-uv-run|passes-uv-run-python|pass|2|22
git-safety|blocks-force-push-main|blocked|2|34
git-safety|blocks-malformed-stdin|blocked|2|7
git-safety|passes-git-status|pass|2|15
log-permission-denied|logs-denied|pass|2|14
log-permission-denied|passes-on-malformed-stdin|error|2|15
log-tool-uses|logs-bash|pass|2|18
log-tool-uses|passes-on-malformed-stdin|error|2|21
secrets-guard|blocks-dotenv-grep|blocked|2|34
secrets-guard|passes-grep-non-secret-path|pass|2|40
suggest-read-json|blocks-on-large-json|blocked|2|49
suggest-read-json|passes-on-nonexistent-json|pass|2|23
approve-safe-commands|approves-ls|approved|3|41
approve-safe-commands|passes-non-allowlist-bash|pass|3|68
auto-mode-shared-steps|blocks-git-push-under-auto-mode|blocked|3|27
auto-mode-shared-steps|passes-noop-bash|pass|3|24
block-config-edits|blocks-edit-bashrc|blocked|3|31
block-config-edits|passes-edit-non-config-file|pass|3|37
block-credential-exfiltration|blocks-curl-with-token|blocked|3|22
block-credential-exfiltration|passes-curl-no-credentials|pass|3|24
block-dangerous-commands|blocks-rm-rf-root|blocked|3|60
block-dangerous-commands|passes-benign-ls|pass|3|16
detect-session-start-truncation|passes-untruncated|pass|3|8
enforce-make-commands|blocks-bare-pytest|blocked|3|20
enforce-make-commands|passes-make-test|pass|3|16
enforce-uv-run|blocks-bare-python|blocked|3|26
enforce-uv-run|passes-uv-run-python|pass|3|18
git-safety|blocks-force-push-main|blocked|3|40
git-safety|blocks-malformed-stdin|blocked|3|9
git-safety|passes-git-status|pass|3|17
log-permission-denied|logs-denied|pass|3|16
log-permission-denied|passes-on-malformed-stdin|error|3|20
log-tool-uses|logs-bash|pass|3|14
log-tool-uses|passes-on-malformed-stdin|error|3|19
secrets-guard|blocks-dotenv-grep|blocked|3|34
secrets-guard|passes-grep-non-secret-path|pass|3|28
suggest-read-json|blocks-on-large-json|blocked|3|24
suggest-read-json|passes-on-nonexistent-json|pass|3|21
approve-safe-commands|approves-ls|approved|4|50
approve-safe-commands|passes-non-allowlist-bash|pass|4|57
