hook	outcome	mode	run	total_us
approve-safe-commands	approved	smoke	1	84954
approve-safe-commands	approved	smoke	2	96837
approve-safe-commands	approved	smoke	3	64466
approve-safe-commands	approved	smoke	4	58286
approve-safe-commands	approved	smoke	5	57325
approve-safe-commands	approved	smoke	6	104638
approve-safe-commands	approved	smoke	7	106324
approve-safe-commands	approved	smoke	8	86625
approve-safe-commands	approved	smoke	9	151983
approve-safe-commands	approved	smoke	10	79350
approve-safe-commands	approved	smoke	11	62269
approve-safe-commands	approved	smoke	12	64768
approve-safe-commands	approved	smoke	13	58326
approve-safe-commands	approved	smoke	14	66985
approve-safe-commands	approved	smoke	15	54596
approve-safe-commands	approved	smoke	16	62122
approve-safe-commands	approved	smoke	17	63843
approve-safe-commands	approved	smoke	18	66791
approve-safe-commands	approved	smoke	19	65233
approve-safe-commands	approved	smoke	20	62702
approve-safe-commands	approved	smoke	21	57461
approve-safe-commands	approved	smoke	22	62676
approve-safe-commands	approved	smoke	23	57687
approve-safe-commands	approved	smoke	24	55264
approve-safe-commands	approved	smoke	25	61100
approve-safe-commands	approved	smoke	26	56908
approve-safe-commands	approved	smoke	27	67962
approve-safe-commands	approved	smoke	28	75297
approve-safe-commands	approved	smoke	29	57588
approve-safe-commands	approved	smoke	30	55048
approve-safe-commands	approved	real	1	80955
approve-safe-commands	approved	real	2	80817
approve-safe-commands	approved	real	3	87839
approve-safe-commands	approved	real	4	128892
approve-safe-commands	approved	real	5	103551
approve-safe-commands	approved	real	6	105794
approve-safe-commands	approved	real	7	134809
approve-safe-commands	approved	real	8	117155
approve-safe-commands	approved	real	9	111294
approve-safe-commands	approved	real	10	104645
approve-safe-commands	approved	real	11	94645
approve-safe-commands	approved	real	12	78175
approve-safe-commands	approved	real	13	82883
approve-safe-commands	approved	real	14	91692
approve-safe-commands	approved	real	15	97502
approve-safe-commands	approved	real	16	87803
approve-safe-commands	approved	real	17	86216
approve-safe-commands	approved	real	18	140698
approve-safe-commands	approved	real	19	104037
approve-safe-commands	approved	real	20	95773
approve-safe-commands	approved	real	21	86519
approve-safe-commands	approved	real	22	88252
approve-safe-commands	approved	real	23	81600
approve-safe-commands	approved	real	24	92155
approve-safe-commands	approved	real	25	91492
approve-safe-commands	approved	real	26	87950
approve-safe-commands	approved	real	27	109924
approve-safe-commands	approved	real	28	83770
approve-safe-commands	approved	real	29	86423
approve-safe-commands	approved	real	30	80418
approve-safe-commands	pass	smoke	1	65105
approve-safe-commands	pass	smoke	2	64176
approve-safe-commands	pass	smoke	3	70034
approve-safe-commands	pass	smoke	4	61333
approve-safe-commands	pass	smoke	5	58984
approve-safe-commands	pass	smoke	6	56399
approve-safe-commands	pass	smoke	7	62988
approve-safe-commands	pass	smoke	8	59213
approve-safe-commands	pass	smoke	9	75535
approve-safe-commands	pass	smoke	10	82617
approve-safe-commands	pass	smoke	11	62336
approve-safe-commands	pass	smoke	12	82277
approve-safe-commands	pass	smoke	13	81307
approve-safe-commands	pass	smoke	14	82873
approve-safe-commands	pass	smoke	15	125522
approve-safe-commands	pass	smoke	16	85329
approve-safe-commands	pass	smoke	17	118723
approve-safe-commands	pass	smoke	18	92469
approve-safe-commands	pass	smoke	19	67262
approve-safe-commands	pass	smoke	20	77716
approve-safe-commands	pass	smoke	21	75541
approve-safe-commands	pass	smoke	22	76672
approve-safe-commands	pass	smoke	23	81457
approve-safe-commands	pass	smoke	24	59871
approve-safe-commands	pass	smoke	25	73561
approve-safe-commands	pass	smoke	26	69450
approve-safe-commands	pass	smoke	27	86836
approve-safe-commands	pass	smoke	28	86287
approve-safe-commands	pass	smoke	29	81019
approve-safe-commands	pass	smoke	30	75845
approve-safe-commands	pass	real	1	147311
approve-safe-commands	pass	real	2	118965
approve-safe-commands	pass	real	3	132322
approve-safe-commands	pass	real	4	96283
approve-safe-commands	pass	real	5	97942
approve-safe-commands	pass	real	6	87965
approve-safe-commands	pass	real	7	88025
approve-safe-commands	pass	real	8	87355
approve-safe-commands	pass	real	9	89045
approve-safe-commands	pass	real	10	94812
approve-safe-commands	pass	real	11	101844
approve-safe-commands	pass	real	12	87098
approve-safe-commands	pass	real	13	89155
approve-safe-commands	pass	real	14	86748
approve-safe-commands	pass	real	15	100912
approve-safe-commands	pass	real	16	96015
approve-safe-commands	pass	real	17	115181
approve-safe-commands	pass	real	18	130121
approve-safe-commands	pass	real	19	225774
approve-safe-commands	pass	real	20	154137
approve-safe-commands	pass	real	21	319116
approve-safe-commands	pass	real	22	227744
approve-safe-commands	pass	real	23	127586
approve-safe-commands	pass	real	24	159001
approve-safe-commands	pass	real	25	200733
approve-safe-commands	pass	real	26	172298
approve-safe-commands	pass	real	27	139576
approve-safe-commands	pass	real	28	209957
approve-safe-commands	pass	real	29	175432
approve-safe-commands	pass	real	30	197004
auto-mode-shared-steps	blocked	smoke	1	224965
auto-mode-shared-steps	blocked	smoke	2	154368
auto-mode-shared-steps	blocked	smoke	3	137000
auto-mode-shared-steps	blocked	smoke	4	128774
auto-mode-shared-steps	blocked	smoke	5	116064
auto-mode-shared-steps	blocked	smoke	6	136094
auto-mode-shared-steps	blocked	smoke	7	121888
auto-mode-shared-steps	blocked	smoke	8	112472
auto-mode-shared-steps	blocked	smoke	9	111182
auto-mode-shared-steps	blocked	smoke	10	103607
auto-mode-shared-steps	blocked	smoke	11	95521
auto-mode-shared-steps	blocked	smoke	12	91758
auto-mode-shared-steps	blocked	smoke	13	80313
auto-mode-shared-steps	blocked	smoke	14	80361
auto-mode-shared-steps	blocked	smoke	15	78054
auto-mode-shared-steps	blocked	smoke	16	78312
auto-mode-shared-steps	blocked	smoke	17	73385
auto-mode-shared-steps	blocked	smoke	18	74415
auto-mode-shared-steps	blocked	smoke	19	69554
auto-mode-shared-steps	blocked	smoke	20	83567
auto-mode-shared-steps	blocked	smoke	21	78247
auto-mode-shared-steps	blocked	smoke	22	71507
auto-mode-shared-steps	blocked	smoke	23	75678
auto-mode-shared-steps	blocked	smoke	24	71374
auto-mode-shared-steps	blocked	smoke	25	82325
auto-mode-shared-steps	blocked	smoke	26	72078
auto-mode-shared-steps	blocked	smoke	27	73032
auto-mode-shared-steps	blocked	smoke	28	75780
auto-mode-shared-steps	blocked	smoke	29	76716
auto-mode-shared-steps	blocked	smoke	30	78504
auto-mode-shared-steps	blocked	real	1	95553
auto-mode-shared-steps	blocked	real	2	94192
auto-mode-shared-steps	blocked	real	3	98681
auto-mode-shared-steps	blocked	real	4	97480
auto-mode-shared-steps	blocked	real	5	94696
auto-mode-shared-steps	blocked	real	6	94200
auto-mode-shared-steps	blocked	real	7	89184
auto-mode-shared-steps	blocked	real	8	92746
auto-mode-shared-steps	blocked	real	9	87197
auto-mode-shared-steps	blocked	real	10	105112
auto-mode-shared-steps	blocked	real	11	116293
auto-mode-shared-steps	blocked	real	12	103908
auto-mode-shared-steps	blocked	real	13	108297
auto-mode-shared-steps	blocked	real	14	106330
auto-mode-shared-steps	blocked	real	15	109494
auto-mode-shared-steps	blocked	real	16	127221
auto-mode-shared-steps	blocked	real	17	123193
auto-mode-shared-steps	blocked	real	18	224968
auto-mode-shared-steps	blocked	real	19	211027
auto-mode-shared-steps	blocked	real	20	201137
auto-mode-shared-steps	blocked	real	21	163850
auto-mode-shared-steps	blocked	real	22	128506
auto-mode-shared-steps	blocked	real	23	112306
auto-mode-shared-steps	blocked	real	24	111303
auto-mode-shared-steps	blocked	real	25	130667
auto-mode-shared-steps	blocked	real	26	154391
auto-mode-shared-steps	blocked	real	27	119725
auto-mode-shared-steps	blocked	real	28	112421
auto-mode-shared-steps	blocked	real	29	105504
auto-mode-shared-steps	blocked	real	30	106343
auto-mode-shared-steps	pass	smoke	1	73432
auto-mode-shared-steps	pass	smoke	2	72711
auto-mode-shared-steps	pass	smoke	3	75059
auto-mode-shared-steps	pass	smoke	4	82349
auto-mode-shared-steps	pass	smoke	5	83330
auto-mode-shared-steps	pass	smoke	6	82573
auto-mode-shared-steps	pass	smoke	7	87063
auto-mode-shared-steps	pass	smoke	8	113763
auto-mode-shared-steps	pass	smoke	9	101887
auto-mode-shared-steps	pass	smoke	10	82881
auto-mode-shared-steps	pass	smoke	11	89273
auto-mode-shared-steps	pass	smoke	12	93533
auto-mode-shared-steps	pass	smoke	13	78886
auto-mode-shared-steps	pass	smoke	14	84209
auto-mode-shared-steps	pass	smoke	15	83018
auto-mode-shared-steps	pass	smoke	16	101022
auto-mode-shared-steps	pass	smoke	17	108174
auto-mode-shared-steps	pass	smoke	18	90301
auto-mode-shared-steps	pass	smoke	19	80853
auto-mode-shared-steps	pass	smoke	20	89546
auto-mode-shared-steps	pass	smoke	21	81800
auto-mode-shared-steps	pass	smoke	22	82521
auto-mode-shared-steps	pass	smoke	23	81721
auto-mode-shared-steps	pass	smoke	24	76155
auto-mode-shared-steps	pass	smoke	25	88462
auto-mode-shared-steps	pass	smoke	26	94108
auto-mode-shared-steps	pass	smoke	27	77816
auto-mode-shared-steps	pass	smoke	28	77967
auto-mode-shared-steps	pass	smoke	29	76344
auto-mode-shared-steps	pass	smoke	30	76931
auto-mode-shared-steps	pass	real	1	101744
auto-mode-shared-steps	pass	real	2	108858
auto-mode-shared-steps	pass	real	3	95505
auto-mode-shared-steps	pass	real	4	96595
auto-mode-shared-steps	pass	real	5	98879
auto-mode-shared-steps	pass	real	6	103163
auto-mode-shared-steps	pass	real	7	99122
auto-mode-shared-steps	pass	real	8	97818
auto-mode-shared-steps	pass	real	9	132497
auto-mode-shared-steps	pass	real	10	109101
auto-mode-shared-steps	pass	real	11	105432
auto-mode-shared-steps	pass	real	12	123606
auto-mode-shared-steps	pass	real	13	146458
auto-mode-shared-steps	pass	real	14	104631
auto-mode-shared-steps	pass	real	15	183509
auto-mode-shared-steps	pass	real	16	182852
auto-mode-shared-steps	pass	real	17	155644
auto-mode-shared-steps	pass	real	18	140549
auto-mode-shared-steps	pass	real	19	123211
auto-mode-shared-steps	pass	real	20	133461
auto-mode-shared-steps	pass	real	21	111478
auto-mode-shared-steps	pass	real	22	126206
auto-mode-shared-steps	pass	real	23	116727
auto-mode-shared-steps	pass	real	24	128441
auto-mode-shared-steps	pass	real	25	144018
auto-mode-shared-steps	pass	real	26	116459
auto-mode-shared-steps	pass	real	27	-247854
auto-mode-shared-steps	pass	real	28	97578
auto-mode-shared-steps	pass	real	29	-360224
auto-mode-shared-steps	pass	real	30	92827
block-config-edits	blocked	smoke	1	56196
block-config-edits	blocked	smoke	2	51143
block-config-edits	blocked	smoke	3	49803
block-config-edits	blocked	smoke	4	47198
block-config-edits	blocked	smoke	5	49336
block-config-edits	blocked	smoke	6	49230
block-config-edits	blocked	smoke	7	50493
block-config-edits	blocked	smoke	8	52418
block-config-edits	blocked	smoke	9	70292
block-config-edits	blocked	smoke	10	61224
block-config-edits	blocked	smoke	11	87953
block-config-edits	blocked	smoke	12	61324
block-config-edits	blocked	smoke	13	65960
block-config-edits	blocked	smoke	14	76626
block-config-edits	blocked	smoke	15	106185
block-config-edits	blocked	smoke	16	104827
block-config-edits	blocked	smoke	17	86528
block-config-edits	blocked	smoke	18	96271
block-config-edits	blocked	smoke	19	98920
block-config-edits	blocked	smoke	20	101090
block-config-edits	blocked	smoke	21	98290
block-config-edits	blocked	smoke	22	82646
block-config-edits	blocked	smoke	23	82638
block-config-edits	blocked	smoke	24	80399
block-config-edits	blocked	smoke	25	97321
block-config-edits	blocked	smoke	26	129614
block-config-edits	blocked	smoke	27	85610
block-config-edits	blocked	smoke	28	79260
block-config-edits	blocked	smoke	29	110376
block-config-edits	blocked	smoke	30	109040
block-config-edits	blocked	real	1	248156
block-config-edits	blocked	real	2	188451
block-config-edits	blocked	real	3	141151
block-config-edits	blocked	real	4	162852
block-config-edits	blocked	real	5	135647
block-config-edits	blocked	real	6	87780
block-config-edits	blocked	real	7	103611
block-config-edits	blocked	real	8	91530
block-config-edits	blocked	real	9	91048
block-config-edits	blocked	real	10	89501
block-config-edits	blocked	real	11	114059
block-config-edits	blocked	real	12	106146
block-config-edits	blocked	real	13	91766
block-config-edits	blocked	real	14	97051
block-config-edits	blocked	real	15	96231
block-config-edits	blocked	real	16	111652
block-config-edits	blocked	real	17	84336
block-config-edits	blocked	real	18	85150
block-config-edits	blocked	real	19	84249
block-config-edits	blocked	real	20	96991
block-config-edits	blocked	real	21	92697
block-config-edits	blocked	real	22	85912
block-config-edits	blocked	real	23	81158
block-config-edits	blocked	real	24	88881
block-config-edits	blocked	real	25	77833
block-config-edits	blocked	real	26	101549
block-config-edits	blocked	real	27	79661
block-config-edits	blocked	real	28	82826
block-config-edits	blocked	real	29	85874
block-config-edits	blocked	real	30	82364
block-config-edits	pass	smoke	1	53183
block-config-edits	pass	smoke	2	52005
block-config-edits	pass	smoke	3	57172
block-config-edits	pass	smoke	4	53445
block-config-edits	pass	smoke	5	65811
block-config-edits	pass	smoke	6	57799
block-config-edits	pass	smoke	7	52008
block-config-edits	pass	smoke	8	53662
block-config-edits	pass	smoke	9	48502
block-config-edits	pass	smoke	10	54791
block-config-edits	pass	smoke	11	48384
block-config-edits	pass	smoke	12	52640
block-config-edits	pass	smoke	13	47676
block-config-edits	pass	smoke	14	48869
block-config-edits	pass	smoke	15	52806
block-config-edits	pass	smoke	16	60428
block-config-edits	pass	smoke	17	59163
block-config-edits	pass	smoke	18	54017
block-config-edits	pass	smoke	19	49664
block-config-edits	pass	smoke	20	55006
block-config-edits	pass	smoke	21	66319
block-config-edits	pass	smoke	22	64345
block-config-edits	pass	smoke	23	63391
block-config-edits	pass	smoke	24	138149
block-config-edits	pass	smoke	25	103194
block-config-edits	pass	smoke	26	121932
block-config-edits	pass	smoke	27	109693
block-config-edits	pass	smoke	28	109152
block-config-edits	pass	smoke	29	67283
block-config-edits	pass	smoke	30	104030
block-config-edits	pass	real	1	110697
block-config-edits	pass	real	2	96752
block-config-edits	pass	real	3	90121
block-config-edits	pass	real	4	86071
block-config-edits	pass	real	5	91823
block-config-edits	pass	real	6	83941
block-config-edits	pass	real	7	83060
block-config-edits	pass	real	8	92462
block-config-edits	pass	real	9	87936
block-config-edits	pass	real	10	90129
block-config-edits	pass	real	11	93456
block-config-edits	pass	real	12	76329
block-config-edits	pass	real	13	78481
block-config-edits	pass	real	14	81981
block-config-edits	pass	real	15	84049
block-config-edits	pass	real	16	121753
block-config-edits	pass	real	17	127674
block-config-edits	pass	real	18	114184
block-config-edits	pass	real	19	125457
block-config-edits	pass	real	20	107214
block-config-edits	pass	real	21	133434
block-config-edits	pass	real	22	119169
block-config-edits	pass	real	23	100368
block-config-edits	pass	real	24	100601
block-config-edits	pass	real	25	89473
block-config-edits	pass	real	26	94516
block-config-edits	pass	real	27	94492
block-config-edits	pass	real	28	92414
block-config-edits	pass	real	29	92303
