hook	mode	run	total_us
approve-safe-commands	smoke	1	44380
approve-safe-commands	smoke	2	34957
approve-safe-commands	smoke	3	34049
approve-safe-commands	smoke	4	35604
approve-safe-commands	smoke	5	34642
approve-safe-commands	smoke	6	32529
approve-safe-commands	smoke	7	32780
approve-safe-commands	smoke	8	33169
approve-safe-commands	smoke	9	33320
approve-safe-commands	smoke	10	32771
approve-safe-commands	smoke	11	32913
approve-safe-commands	smoke	12	32681
approve-safe-commands	smoke	13	32219
approve-safe-commands	smoke	14	32846
approve-safe-commands	smoke	15	32626
approve-safe-commands	smoke	16	36791
approve-safe-commands	smoke	17	35473
approve-safe-commands	smoke	18	37112
approve-safe-commands	smoke	19	34382
approve-safe-commands	smoke	20	34535
approve-safe-commands	smoke	21	33775
approve-safe-commands	smoke	22	34058
approve-safe-commands	smoke	23	1033413
approve-safe-commands	smoke	24	34356
approve-safe-commands	smoke	25	36916
approve-safe-commands	smoke	26	32784
approve-safe-commands	smoke	27	33141
approve-safe-commands	smoke	28	32962
approve-safe-commands	smoke	29	33154
approve-safe-commands	smoke	30	33143
approve-safe-commands	real	1	49320
approve-safe-commands	real	2	47040
approve-safe-commands	real	3	46141
approve-safe-commands	real	4	48229
approve-safe-commands	real	5	45762
approve-safe-commands	real	6	46051
approve-safe-commands	real	7	47199
approve-safe-commands	real	8	50382
approve-safe-commands	real	9	48781
approve-safe-commands	real	10	48990
approve-safe-commands	real	11	63834
approve-safe-commands	real	12	53740
approve-safe-commands	real	13	46635
approve-safe-commands	real	14	45524
approve-safe-commands	real	15	46939
approve-safe-commands	real	16	46071
approve-safe-commands	real	17	45892
approve-safe-commands	real	18	45886
approve-safe-commands	real	19	47065
approve-safe-commands	real	20	45155
approve-safe-commands	real	21	46820
approve-safe-commands	real	22	48929
approve-safe-commands	real	23	51407
approve-safe-commands	real	24	45873
approve-safe-commands	real	25	49222
approve-safe-commands	real	26	46715
approve-safe-commands	real	27	47136
approve-safe-commands	real	28	53053
approve-safe-commands	real	29	50645
approve-safe-commands	real	30	46005
auto-mode-shared-steps	smoke	1	46208
auto-mode-shared-steps	smoke	2	46578
auto-mode-shared-steps	smoke	3	50141
auto-mode-shared-steps	smoke	4	56739
auto-mode-shared-steps	smoke	5	46003
auto-mode-shared-steps	smoke	6	45565
auto-mode-shared-steps	smoke	7	46141
auto-mode-shared-steps	smoke	8	46315
auto-mode-shared-steps	smoke	9	45685
auto-mode-shared-steps	smoke	10	44778
auto-mode-shared-steps	smoke	11	45113
auto-mode-shared-steps	smoke	12	48816
auto-mode-shared-steps	smoke	13	46418
auto-mode-shared-steps	smoke	14	45836
auto-mode-shared-steps	smoke	15	51732
auto-mode-shared-steps	smoke	16	53232
auto-mode-shared-steps	smoke	17	47274
auto-mode-shared-steps	smoke	18	46618
auto-mode-shared-steps	smoke	19	46786
auto-mode-shared-steps	smoke	20	47869
auto-mode-shared-steps	smoke	21	46248
auto-mode-shared-steps	smoke	22	45009
auto-mode-shared-steps	smoke	23	45271
auto-mode-shared-steps	smoke	24	45193
auto-mode-shared-steps	smoke	25	46076
