mode	run	bash_startup_us	source_us	init_us	exit_us	total_us
smoke	1	4894	5570	10188	1255	21907
smoke	2	6757	8561	14523	1189	31030
smoke	3	3589	5166	10349	1004	20108
smoke	4	3751	4597	11092	966	20406
smoke	5	5425	4595	10186	1262	21468
smoke	6	4430	5363	9293	1077	20163
smoke	7	5258	5527	10339	1361	22485
smoke	8	5122	5669	17691	1011	29493
smoke	9	3913	6694	13674	1585	25866
smoke	10	3358	7288	13026	1486	25158
smoke	11	4195	6412	9845	1106	21558
smoke	12	4887	6216	9402	1233	21738
smoke	13	3251	5349	10112	1092	19804
smoke	14	3270	5926	10779	914	20889
smoke	15	4328	6890	11801	1066	24085
smoke	16	4985	5768	10671	1329	22753
smoke	17	4317	5242	11978	1033	22570
smoke	18	5434	4968	10601	1006	22009
smoke	19	5650	5988	12033	1005	24676
smoke	20	4293	5368	11199	1036	21896
smoke	21	5119	6486	12541	961	25107
smoke	22	3426	5861	9743	1536	20566
smoke	23	3359	7243	9514	973	21089
smoke	24	3425	4655	10849	1350	20279
smoke	25	3694	5033	12211	1148	22086
smoke	26	4334	4873	11366	919	21492
smoke	27	5024	5373	10699	1012	22108
smoke	28	4143	6730	9735	1155	21763
smoke	29	7077	5055	11506	1095	24733
smoke	30	5814	6783	11695	1148	25440
smoke	31	3714	5985	12598	1684	23981
smoke	32	6051	6925	12975	1221	27172
smoke	33	3724	4708	11271	1042	20745
smoke	34	3866	6587	10140	932	21525
smoke	35	3295	5113	10807	913	20128
smoke	36	3961	4646	9391	1159	19157
smoke	37	3127	6530	8645	928	19230
smoke	38	4082	5000	10439	1115	20636
smoke	39	3939	4179	9781	998	18897
smoke	40	3125	5037	8464	930	17556
smoke	41	3754	4222	8959	957	17892
smoke	42	3120	5170	8524	1061	17875
smoke	43	3178	4405	9088	1025	17696
smoke	44	3493	5454	8475	980	18402
smoke	45	3965	4458	9040	922	18385
smoke	46	3320	5446	8623	1010	18399
smoke	47	3269	4261	9720	910	18160
smoke	48	3392	5238	13199	1331	23160
smoke	49	4658	5293	9018	1108	20077
smoke	50	3238	5584	9222	930	18974
real	1	2657	4904	9686	1037	18284
real	2	2660	5188	8552	1279	17679
real	3	2304	4534	9544	896	17278
real	4	2978	5592	9732	1003	19305
real	5	2147	4411	9666	942	17166
real	6	4162	6913	12189	1009	24273
real	7	2604	5655	9583	1326	19168
real	8	2120	4706	9440	912	17178
real	9	3124	4391	9097	1116	17728
real	10	2264	6276	10527	1124	20191
real	11	3867	6817	12549	1392	24625
real	12	3325	6079	13036	1156	23596
real	13	2420	4556	10361	941	18278
real	14	2867	5447	9518	965	18797
real	15	2226	4806	9575	1033	17640
real	16	2863	4724	10168	1235	18990
real	17	2385	5836	8606	939	17766
real	18	2314	4827	9626	1032	17799
real	19	2512	5322	8239	1033	17106
real	20	2223	4290	9519	1099	17131
real	21	2310	5469	8366	994	17139
real	22	2102	5182	10022	922	18228
real	23	2224	5195	8361	923	16703
real	24	2220	4980	8969	1025	17194
real	25	2171	6077	10941	1294	20483
real	26	2108	5292	9923	911	18234
real	27	2547	5546	12607	1170	21870
real	28	2997	5493	8999	1211	18700
real	29	2449	6824	12365	1292	22930
real	30	2634	6656	9805	1421	20516
real	31	2197	5473	11496	964	20130
real	32	2947	6584	10669	1189	21389
real	33	2884	7369	9968	1366	21587
real	34	2344	4550	9926	1034	17854
real	35	2748	5145	9052	1170	18115
real	36	2259	4526	9418	914	17117
real	37	2682	5032	8609	1328	17651
real	38	2109	5072	9064	859	17104
real	39	2824	4534	8670	1360	17388
real	40	2174	4680	9183	889	16926
real	41	3375	7573	11602	1034	23584
real	42	3398	5004	10386	972	19760
real	43	2056	6284	10698	1684	20722
real	44	2724	6500	9140	932	19296
real	45	2212	4849	10097	1168	18326
real	46	2510	5559	8329	1149	17547
real	47	2306	4459	9799	1157	17721
real	48	3026	5470	9507	1136	19139
real	49	3220	7784	11639	1063	23706
real	50	2109	5883	9045	970	18007
real-no-sqlite	1	2277	4837	9722	1116	17952
real-no-sqlite	2	3418	4663	9406	1052	18539
real-no-sqlite	3	2051	4322	9971	975	17319
real-no-sqlite	4	2853	4380	8759	1159	17151
real-no-sqlite	5	3122	6181	9650	1737	20690
real-no-sqlite	6	2421	5911	8947	1144	18423
real-no-sqlite	7	2186	4869	10180	1091	18326
real-no-sqlite	8	2567	5635	8846	991	18039
real-no-sqlite	9	2117	4717	9744	948	17526
real-no-sqlite	10	2770	4719	9035	1269	17793
real-no-sqlite	11	2258	4627	9530	1109	17524
real-no-sqlite	12	2454	5052	8338	982	16826
real-no-sqlite	13	2086	4406	10444	973	17909
real-no-sqlite	14	2864	5258	8358	1097	17577
real-no-sqlite	15	2047	4389	9478	911	16825
real-no-sqlite	16	2848	5067	8182	1458	17555
