mode	run	bash_startup_us	source_us	init_us	exit_us	total_us
smoke	1	11211	9287	19383	1220	41101
smoke	2	4895	4799	13915	1018	24627
smoke	3	3296	8403	19728	1115	32542
smoke	4	4200	6388	12713	975	24276
smoke	5	4013	9131	16654	3164	32962
smoke	6	4421	6552	23276	1254	35503
smoke	7	4650	6454	15643	1287	28034
smoke	8	5014	6098	14105	1213	26430
smoke	9	5393	4542	14537	1264	25736
smoke	10	6327	6995	15253	1073	29648
smoke	11	3954	9637	17623	1450	32664
smoke	12	4714	8829	19461	1093	34097
smoke	13	4340	6848	13899	2969	28056
smoke	14	6016	4927	11226	1262	23431
smoke	15	3355	6343	10631	2439	22768
smoke	16	3022	4123	15261	977	23383
smoke	17	3689	7764	14915	1380	27748
smoke	18	4073	4790	11970	1115	21948
smoke	19	5605	4653	14514	1242	26014
smoke	20	4385	4978	19640	1133	30136
smoke	21	5753	5832	15852	3776	31213
smoke	22	5155	6027	19461	1354	31997
smoke	23	3060	6014	18098	1966	29138
smoke	24	3919	6841	22300	1446	34506
smoke	25	3435	7263	16307	1435	28440
smoke	26	4325	5950	11990	1000	23265
smoke	27	9264	8801	19426	1468	38959
smoke	28	7893	12529	27328	8059	55809
smoke	29	9310	9886	26690	4002	49888
smoke	30	5315	5939	17688	1199	30141
smoke	31	3686	5651	11031	1067	21435
smoke	32	4335	8002	13334	973	26644
smoke	33	4679	7773	16390	1161	30003
smoke	34	3975	6798	18395	1800	30968
smoke	35	4144	6457	14950	1968	27519
smoke	36	4556	6946	16901	2507	30910
smoke	37	5523	7249	16461	1397	30630
smoke	38	5047	5728	15429	1425	27629
smoke	39	5313	5015	14783	1312	26423
smoke	40	6546	5721	15827	1036	29130
smoke	41	5332	6410	16075	1269	29086
smoke	42	5419	8187	17095	1109	31810
smoke	43	3397	7498	15513	2091	28499
smoke	44	6169	11132	19197	1952	38450
smoke	45	6502	6361	20459	1784	35106
smoke	46	6947	6817	15704	1429	30897
smoke	47	3954	5961	14833	1001	25749
smoke	48	3962	6238	12420	1284	23904
smoke	49	3409	5265	12379	992	22045
smoke	50	3420	5104	16922	1357	26803
real	1	2820	6241	15414	1022	25497
real	2	2686	4829	19491	1342	28348
real	3	3249	5523	18267	1455	28494
real	4	3935	5944	17377	956	28212
real	5	2416	5768	19098	1193	28475
real	6	3674	8482	18558	1118	31832
real	7	2373	5890	16012	1110	25385
real	8	2801	6504	21124	1314	31743
real	9	2340	4833	15109	1074	23356
real	10	2360	5768	16619	1297	26044
real	11	3882	8620	24296	1281	38079
real	12	2950	9081	19477	984	32492
real	13	2463	4660	17030	1400	25553
real	14	3857	6187	18286	1137	29467
real	15	2358	4624	16020	1435	24437
real	16	2811	5039	21253	999	30102
real	17	2650	6239	16673	1261	26823
real	18	3005	6401	17341	1219	27966
real	19	2520	4719	16004	940	24183
real	20	2338	4696	16459	1164	24657
real	21	2447	7066	19025	1029	29567
real	22	3291	5531	25190	1219	35231
real	23	2288	6391	16484	1133	26296
real	24	3058	5152	16261	913	25384
real	25	2641	6036	16200	921	25798
real	26	3922	5751	20153	1510	31336
real	27	3007	8445	24526	1563	37541
real	28	2557	5248	18182	1006	26993
real	29	2437	5549	19113	1368	28467
real	30	2844	5770	15648	996	25258
real	31	2973	5626	19518	1173	29290
real	32	3415	6856	18018	1229	29518
real	33	3759	6224	24977	1223	36183
real	34	3224	5060	21579	1330	31193
real	35	3756	6871	16971	1314	28912
real	36	2317	8352	20352	986	32007
real	37	3149	6093	21287	1586	32115
real	38	2799	6249	22092	1194	32334
real	39	4201	7304	21418	1201	34124
real	40	2822	7535	20652	1175	32184
real	41	3062	5559	20289	2058	30968
real	42	3519	5015	17922	1212	27668
real	43	4226	6758	25247	3174	39405
real	44	3575	12017	24697	1131	41420
real	45	3155	6011	22405	1490	33061
real	46	2857	6868	26570	2169	38464
real	47	4485	11430	24215	1391	41521
real	48	3251	7582	20055	1390	32278
real	49	3990	8674	18208	1019	31891
real	50	2302	5388	15696	1442	24828
real-no-sqlite	1	4437	6364	14418	1187	26406
real-no-sqlite	2	3522	5813	15267	970	25572
real-no-sqlite	3	2931	7154	13405	1648	25138
real-no-sqlite	4	2973	6647	14121	1551	25292
real-no-sqlite	5	3370	5620	14721	1100	24811
real-no-sqlite	6	3437	5680	14770	1752	25639
real-no-sqlite	7	2731	5624	15153	2160	25668
real-no-sqlite	8	2661	5873	15647	1186	25367
real-no-sqlite	9	2669	10344	17105	1214	31332
real-no-sqlite	10	2313	6077	12005	1197	21592
real-no-sqlite	11	2768	9620	13909	1479	27776
real-no-sqlite	12	3504	5623	12827	1187	23141
real-no-sqlite	13	2622	5364	14005	1275	23266
real-no-sqlite	14	4756	5329	13967	1061	25113
real-no-sqlite	15	2540	6070	15079	1181	24870
real-no-sqlite	16	2649	7937	14856	1992	27434
real-no-sqlite	17	2488	7764	11757	1227	23236
real-no-sqlite	18	3220	6498	11925	1704	23347
real-no-sqlite	19	4085	6683	18064	3069	31901
real-no-sqlite	20	2992	5012	14577	932	23513
real-no-sqlite	21	2642	7127	13866	1631	25266
real-no-sqlite	22	2315	6670	12127	1161	22273
real-no-sqlite	23	2692	5943	12302	1148	22085
real-no-sqlite	24	2329	5512	13095	1042	21978
real-no-sqlite	25	2679	8390	13791	1207	26067
real-no-sqlite	26	2263	5513	11414	1181	20371
real-no-sqlite	27	2718	6773	13828	1754	25073
real-no-sqlite	28	5006	5551	15444	1029	27030
real-no-sqlite	29	2565	8111	13593	1092	25361
real-no-sqlite	30	5457	6459	16218	963	29097
real-no-sqlite	31	3514	6926	12648	1289	24377
real-no-sqlite	32	3506	5599	16184	1068	26357
real-no-sqlite	33	2563	4544	13407	917	21431
real-no-sqlite	34	2527	5724	14468	1195	23914
real-no-sqlite	35	4956	7272	17258	1398	30884
real-no-sqlite	36	7511	7498	15903	1077	31989
real-no-sqlite	37	3058	7339	13488	1215	25100
real-no-sqlite	38	3857	6013	16233	1046	27149
real-no-sqlite	39	2510	5285	13227	1109	22131
real-no-sqlite	40	2349	5561	14854	1426	24190
real-no-sqlite	41	3671	6554	11690	1278	23193
real-no-sqlite	42	2676	4880	15288	934	23778
real-no-sqlite	43	2765	8741	14526	1073	27105
real-no-sqlite	44	2904	5584	18669	1153	28310
real-no-sqlite	45	3511	7704	16432	1525	29172
real-no-sqlite	46	4339	5979	14896	1219	26433
real-no-sqlite	47	2920	7321	15598	1793	27632
real-no-sqlite	48	2703	5526	13043	978	22250
real-no-sqlite	49	2525	4689	18965	1749	27928
real-no-sqlite	50	3062	5998	13839	1146	24045
